Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1300,218,0,1991,182.49,19.231%,.25395,0.36,0.02,1439.3
TOTAL,1300,218,0,1991,182.49,19.231%,.25395,0.36,0.02,1439.3
