Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1700,247,0,1991,179.21,14.706%,.31004,0.44,0.03,1457.6
TOTAL,1700,247,0,1991,179.21,14.706%,.31004,0.44,0.03,1457.6
