Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1450,228,0,1991,178.45,17.241%,.27269,0.39,0.02,1447.3
TOTAL,1450,228,0,1991,178.45,17.241%,.27269,0.39,0.02,1447.3
